FBX Name,User Name,Email,命名检查,分类检查,分类,Hierarchy Check,Hierarchy Root Name Check,根节点名,冻结变换检查,LOD 数量,贴花数量,碰撞数量,LOD 材质球数量,贴花材质球数量,是否有无效的UV集,UV1 范围,Vertex Color,各级 LOD 的三角形数量,贴花的三角形数量,碰撞的三角形数量,旋转包围盒大小 (居中),包围盒大小 (未居中),绝对路径
SM_Build_Facade_004_01,,,Passed,Passed,Build,Passed,Passed,[SM_Build_Facade_004_01],Passed,5,0,1,[4][4][4][4][4],N/A,Passed,[2.994128-0.994440],[0.000000][0.000000][0.000000],[3218][1810][898][448][224],N/A,44,[5.853185][1.319580][2.835853],[1.265582][2.849127][5.825084],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Build/Model/SM_Build_Facade_004_01.FBX
SM_Build_Facade_004_02,,,Passed,Passed,Build,Passed,Passed,[SM_Build_Facade_004_02],Passed,5,0,1,[4][4][4][4][4],N/A,Passed,[3.972148-0.993654],[0.000000][0.000000][0.000000],[3486][1936][1056][596][298],N/A,32,[5.957182][2.789182][1.320702],[1.250002][2.808708][5.601772],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Build/Model/SM_Build_Facade_004_02.FBX
SM_Build_Facade_008,,,Passed,Passed,Build,Passed,Passed,[SM_Build_Facade_008],Passed,5,0,4,[3][3][3][3][3],N/A,Passed,[2.995601-0.995285],[0.000000][0.000000][0.000000],[3456][1853][922][501][250],N/A,48,[2.823236][2.888011][2.889852],[2.835373][2.845363][2.799252],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Build/Model/SM_Build_Facade_008.FBX
SM_Build_Fence_001_A,,,Passed,Passed,Build,Passed,Passed,[SM_Build_Fence_001_A],Passed,5,0,1,[2][2][2][2][2],N/A,Passed,[0.998029-0.526535],[0.000000][0.000000][0.000000],[1572][905][452][226][113],N/A,36,[1.010561][0.207581][1.564405],[0.139227][0.994446][0.066865],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Build/Model/SM_Build_Fence_001_A.fbx
SM_Build_platform_001_A,,,Passed,Passed,Build,Passed,Passed,[SM_Build_platform_001_A],Passed,5,0,1,[2][2][2][2][2],N/A,Passed,[2.330841-2.332556],[0.000000][0.000000][0.000000],[3127][1577][803][416][208],N/A,10,[15.035398][0.521189][14.620160],[7.451559][0.082012][7.406659],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Build/Model/SM_Build_platform_001_A.fbx
SM_Build_platform_001_B,,,Passed,Passed,Build,Passed,Passed,[SM_Build_platform_001_B],Passed,5,0,2,[1][1][1][1][1],N/A,Passed,[0.997664-0.997618],[0.000000][0.000000][0.000000],[619][308][154][76][37],N/A,205,[4.689344][6.029661][1.070444],[-0.472195][0.270183][-5.151450],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Build/Model/SM_Build_platform_001_B.fbx
SM_Build_Platform_002_A,,,Passed,Passed,Build,Passed,Passed,[SM_Build_Platform_002_A],Passed,5,0,1,[2][2][2][2][2],N/A,Passed,[1.999726-0.999084],[0.000000][0.000000][0.000000],[4445][3325][2150][1391][695],N/A,40,[2.153693][5.464161][3.197243],[3.063738][2.120085][5.410867],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Build/Model/SM_Build_Platform_002_A.FBX
SM_Build_Platform_002_B,,,Passed,Passed,Build,Passed,Passed,[SM_Build_Platform_002_B],Passed,5,0,1,[3][3][3][3][3],N/A,Passed,[2.996321-1.047735],[0.000000][0.000000][0.000000],[2432][1844][1320][661][329],N/A,100,[2.129477][3.163159][3.070513],[3.027927][2.100534][3.041490],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Build/Model/SM_Build_Platform_002_B.FBX
SM_Build_Stairs_001,,,Passed,Passed,Build,Passed,Passed,[SM_Build_Stairs_001],Passed,5,0,2,[2][2][2][2][2],N/A,Passed,[1.000000-1.080231],[0.000000][0.000000][0.000000],[6162][5059][4154][3410][1704],N/A,458,[2.802943][4.729586][5.889323],[5.733274][2.781460][4.677453],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Build/Model/SM_Build_Stairs_001.FBX
SM_Build_Stairs_002,,,Passed,Passed,Build,Passed,Passed,[SM_Build_Stairs_002],Passed,5,0,2,[2][2][2][2][2],N/A,Passed,[1.595309-0.997581],[0.000000][0.000000][0.000000],[5123][4055][3209][2539][1269],N/A,414,[4.208644][1.901451][6.269183],[4.205547][1.875085][6.155417],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Build/Model/SM_Build_Stairs_002.FBX
SM_Build_Stairs_003,,,Passed,Passed,Build,Passed,Passed,[SM_Build_Stairs_003],Passed,5,0,2,[1][1][1][1][1],N/A,Passed,[1.000000-1.000000],[0.000000][0.000000][0.000000],[1617][807][403][201][100],N/A,134,[6.428696][4.047059][3.051461],[2.023529][3.051371][6.422632],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Build/Model/SM_Build_Stairs_003.fbx
SM_Build_Stair_001,,,Passed,Passed,Build,Passed,Passed,[SM_Build_Stair_001],Passed,5,0,2,[3][3][3][3][3],N/A,Passed,[2.173653-1.000000],[0.000000][0.000000][0.000000],[5879][2967][1469][743][367],N/A,136,[2.367483][2.819589][1.783814],[0.904830][2.280168][1.908771],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Build/Model/SM_Build_Stair_001.fbx
SM_Build_Stair_002,,,Passed,Passed,Build,Passed,Passed,[SM_Build_Stair_002],Passed,5,0,1,[2][2][2][2][2],N/A,Passed,[1.000000-0.739584],[0.000000][0.000000][0.000000],[2290][1145][572][285][142],N/A,12,[2.343282][2.354591][1.669878],[0.808955][1.262331][1.209016],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Build/Model/SM_Build_Stair_002.fbx
SM_Build_Stones_001,,,Passed,Passed,Build,Passed,Passed,[SM_Build_Stones_001],Passed,5,0,1,[1][1][1][1][1],N/A,Passed,[0.997065-0.997069],[0.000000][0.000000][0.000000],[1618][1286][1022][812][406],N/A,60,[2.598752][0.898181][2.316901],[1.339970][0.460687][1.395794],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Build/Model/SM_Build_Stones_001.fbx
SM_Build_Wallbridge_001,,,Passed,Passed,Build,Passed,Passed,[SM_Build_Wallbridge_001],Passed,5,0,9,[4][4][4][4][4],N/A,Passed,[3.995386-0.996300],[0.000000][0.000000][0.000000],[6058][3470][1854][1004][504],N/A,104,[7.641153][11.706673][2.150108],[3.818562][11.560708][1.083025],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Build/Model/SM_Build_Wallbridge_001.FBX
SM_Build_Wallruined_001,,,Passed,Passed,Build,Passed,Passed,[SM_Build_Wallruined_001],Passed,5,0,1,[3][3][3][3][3],N/A,Passed,[2.993814-0.998115],[0.000000][0.000000][0.000000],[2730][2036][1269][491][244],N/A,50,[5.586699][7.108185][1.804350],[1.775890][5.570953][7.122074],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Build/Model/SM_Build_Wallruined_001.FBX
SM_Build_Wallruined_002,,,Passed,Passed,Build,Passed,Passed,[SM_Build_Wallruined_002],Passed,5,0,1,[3][3][3][3][3],N/A,Passed,[2.989133-0.999086],[0.000000][0.000000][0.000000],[2302][1709][1270][935][467],N/A,52,[6.406287][5.549929][1.735418],[1.748919][5.552057][6.407366],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Build/Model/SM_Build_Wallruined_002.FBX
SM_Build_Wallruined_003,,,Passed,Passed,Build,Passed,Passed,[SM_Build_Wallruined_003],Passed,5,0,1,[3][3][3][3][3],N/A,Passed,[2.992497-0.998050],[0.000000][0.000000][0.000000],[3440][4603][2533][1514][757],N/A,108,[5.577805][7.116651][1.804401],[1.783411][5.569513][7.121240],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Build/Model/SM_Build_Wallruined_003.FBX
SM_Build_Wallruined_004,,,Passed,Passed,Build,Passed,Passed,[SM_Build_Wallruined_004],Passed,5,0,5,[2][2][2][2][2],N/A,Passed,[1.998341-0.998057],[0.000000][0.000000][0.000000],[2532][1272][623][350][174],N/A,72,[5.810016][3.957584][3.972140],[4.094343][5.627836][3.846368],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Build/Model/SM_Build_Wallruined_004.FBX
SM_Build_Wallruined_006,,,Passed,Passed,Build,Passed,Passed,[SM_Build_Wallruined_006],Passed,5,0,4,[2][2][2][2][2],N/A,Passed,[1.998341-1.017261],[0.000000][0.000000][0.000000],[3230][1824][714][396][198],N/A,48,[3.928082][4.013932][5.805725],[4.093124][5.633772][3.848149],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Build/Model/SM_Build_Wallruined_006.FBX
SM_Build_Wallruined_007,,,Passed,Passed,Build,Passed,Passed,[SM_Build_Wallruined_007],Passed,5,0,3,[3][3][3][3][3],N/A,Passed,[2.988927-0.998050],[0.000000][0.000000][0.000000],[2208][1730][1356][1062][530],N/A,36,[5.564947][1.797146][7.126334],[1.791228][5.556655][7.126334],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Build/Model/SM_Build_Wallruined_007.FBX
SM_Build_Wallruined_008,,,Passed,Passed,Build,Passed,Passed,[SM_Build_Wallruined_008],Passed,5,0,1,[3][3][3][3][3],N/A,Passed,[4.628245-5.678659],[0.000000][0.000000][0.000000],[12026][9159][5899][3905][1183],N/A,691,[4.089259][5.742932][4.182467],[2.040650][5.629962][2.014541],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Build/Model/SM_Build_Wallruined_008.fbx
SM_COT_River_01,,,Passed,Failed,N/A,Failed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/PCG/Water/SM_COT_River_01.fbx
SM_Props_Barrel_001_A,,,Passed,Passed,Props,Passed,Passed,[SM_Props_Barrel_001_A],Passed,5,0,1,[1][1][1][1][1],N/A,Passed,[1.000000-0.997925],[0.000000][0.000000][0.000000],[754][512][256][128][64],N/A,20,[0.526891][0.534018][0.530114],[0.262002][0.533313][0.321592],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Props/Model/SM_Props_Barrel_001_A.fbx
SM_Props_Barrel_001_B,,,Passed,Passed,Props,Passed,Passed,[SM_Props_Barrel_001_B],Passed,5,0,1,[1][1][1][1][1],N/A,Passed,[0.997785-0.951491],[0.000000][0.000000][0.000000],[96][90][45][21][10],N/A,20,[0.495697][0.486431][0.040611],[0.251080][0.551479][0.240309],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Props/Model/SM_Props_Barrel_001_B.fbx
SM_Props_Barrel_002,,,Passed,Passed,Props,Passed,Passed,[SM_Props_Barrel_002],Passed,5,0,1,[1][1][1][1][1],N/A,Passed,[1.000000-0.997925],[0.000000][0.000000][0.000000],[528][264][132][66][33],N/A,20,[0.549986][0.542594][0.556450],[0.295538][0.534496][0.271244],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Props/Model/SM_Props_Barrel_002.fbx
SM_Props_Barrel_003_A,,,Passed,Passed,Props,Passed,Passed,[SM_Props_Barrel_003_A],Passed,5,0,1,[1][1][1][1][1],N/A,Passed,[1.000000-0.997925],[0.000000][0.000000][0.000000],[542][386][193][95][47],N/A,28,[0.717578][0.710827][0.787416],[0.361598][0.787090][0.359178],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Props/Model/SM_Props_Barrel_003_A.fbx
SM_Props_Barrel_003_B,,,Passed,Passed,Props,Passed,Passed,[SM_Props_Barrel_003_B],Passed,5,0,1,[1][1][1][1][1],N/A,Passed,[0.997785-0.951491],[0.000000][0.000000][0.000000],[96][84][42][21][9],N/A,12,[0.675692][0.092855][0.691200],[0.337973][0.852482][0.331939],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Props/Model/SM_Props_Barrel_003_B.fbx
SM_Props_Barrel_003_C,,,Passed,Passed,Props,Passed,Passed,[SM_Props_Barrel_003_C],Passed,5,0,1,[1][1][1][1][1],N/A,Passed,[1.000000-0.997959],[0.000000][0.000000][0.000000],[3032][2080][1040][520][260],N/A,28,[0.837632][1.448616][1.435233],[0.724151][0.837165][0.717321],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Props/Model/SM_Props_Barrel_003_C.fbx
SM_Props_Basket_001A,,,Passed,Passed,Props,Passed,Passed,[SM_Props_Basket_001A],Passed,5,0,1,[1][1][1][1][1],N/A,Passed,[2.517578-2.008789],[0.000000][0.000000][0.000000],[1468][734][366][182][90],N/A,20,[0.539755][0.855664][0.858676],[0.434839][0.534314][0.433436],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Props/Model/SM_Props_Basket_001A.FBX
SM_Props_Basket_001B,,,Passed,Passed,Props,Passed,Passed,[SM_Props_Basket_001B],Passed,5,0,1,[1][1][1][1][1],N/A,Passed,[2.517578-2.008789],[0.000000][0.000000][0.000000],[1468][734][366][182][90],N/A,20,[0.598794][0.600308][0.378036],[0.304387][0.374020][0.303405],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Props/Model/SM_Props_Basket_001B.FBX
SM_Props_Basket_001C,,,Passed,Passed,Props,Passed,Passed,[SM_Props_Basket_001C],Passed,5,0,1,[1][1][1][1][1],N/A,Passed,[3.593750-2.588867],[0.000000][0.000000][0.000000],[2140][1070][534][266][132],N/A,12,[1.072087][0.404358][0.767279],[0.536985][0.399723][0.384013],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Props/Model/SM_Props_Basket_001C.FBX
SM_Props_Basket_001D,,,Passed,Passed,Props,Passed,Passed,[SM_Props_Basket_001D],Passed,5,0,1,[1][1][1][1][1],N/A,Failed,[3.593750-2.588867],[0.000000][0.000000][0.000000],[2140][1070][534][266][132],N/A,46,[0.282647][0.541415][0.750226],[0.375889][0.279806][0.272946],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Props/Model/SM_Props_Basket_001D.FBX
SM_Props_Basket_001E,,,Passed,Passed,Props,Passed,Passed,[SM_Props_Basket_001E],Passed,5,0,1,[1][1][1][1][1],N/A,Passed,[4.000000-2.815430],[0.000000][0.000000][0.000000],[2228][1114][556][278][138],N/A,12,[0.768857][1.073986][0.573816],[0.538398][0.568157][0.385034],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Props/Model/SM_Props_Basket_001E.FBX
SM_Props_Basket_001F,,,Passed,Passed,Props,Passed,Passed,[SM_Props_Basket_001F],Passed,5,0,1,[1][1][1][1][1],N/A,Passed,[4.000000-2.815430],[0.000000][0.000000][0.000000],[2228][1114][556][278][138],N/A,12,[0.538200][0.751790][0.401855],[0.376879][0.397710][0.269524],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Props/Model/SM_Props_Basket_001F.FBX
SM_Props_Basket_001G,,,Passed,Passed,Props,Passed,Passed,[SM_Props_Basket_001G],Passed,5,0,1,[1][1][1][1][1],N/A,Passed,[2.517578-2.040039],[0.000000][0.000000][0.000000],[1916][958][478][238][118],N/A,20,[0.582893][0.804449][0.586233],[0.330793][0.799372][0.299181],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Props/Model/SM_Props_Basket_001G.FBX
SM_Props_Basket_001I,,,Passed,Passed,Props,Passed,Passed,[SM_Props_Basket_001I],Passed,5,0,1,[1][1][1][1][1],N/A,Failed,[2.517578-2.040039],[0.000000][0.000000][0.000000],[1916][958][478][238][118],N/A,20,[0.415031][0.407828][0.562403],[0.231555][0.558026][0.209426],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Props/Model/SM_Props_Basket_001I.FBX
SM_Props_Bed_001,,,Passed,Passed,Props,Passed,Passed,[SM_Props_Bed_001],Passed,5,0,3,[1][1][1][1][1],N/A,Passed,[1.254326-0.994003],[0.000000][0.000000][0.000000],[1372][886][442][221][110],N/A,36,[0.660363][2.120463][1.404542],[0.702582][0.660260][1.046856],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Props/Model/SM_Props_Bed_001.fbx
SM_Props_Book_001_A,,,Passed,Passed,Props,Passed,Passed,[SM_Props_Book_001_A],Passed,5,0,1,[1][1][1][1][1],N/A,Passed,[0.985412-0.762657],[0.000000][0.000000][0.000000],[32][32][16][8][8],N/A,12,[0.259448][0.146755][0.228137],[0.072342][0.262108][0.115875],C:/worldx_robot_HZPCC0420091_3279/unity_project/Assets/Res/Environment/Common/Props/Model/SM_Props_Book_001_A.fbx
